timestamp,open,high,low,close,volume
2024-03-07,174.3500,180.0400,173.7000,178.6500,102129004
2024-03-06,179.9900,181.5760,173.7000,176.5400,107920944
2024-03-05,183.0500,184.5900,177.5700,180.7400,119660758
2024-03-04,198.7300,199.7500,186.7200,188.1400,134334869
2024-03-01,200.5200,204.5200,198.5000,202.6400,82243119
2024-02-29,204.1800,205.2800,198.4463,201.8800,85906974
2024-02-28,200.4200,205.3000,198.4400,202.0400,99806173
2024-02-27,204.0400,205.6000,198.2600,199.7300,108645412
2024-02-26,192.2900,201.7800,192.0000,199.4000,111747116
2024-02-23,195.3100,197.5700,191.5000,191.9700,78841917
2024-02-22,194.0000,198.3200,191.3600,197.4100,92739461
2024-02-21,193.3600,199.4400,191.9500,194.7700,103844008
2024-02-20,196.1300,198.6000,189.1300,193.7600,104545762
2024-02-16,202.0600,203.1700,197.4000,199.9500,111346705
2024-02-15,189.1600,200.8800,188.8595,200.4500,120831762
2024-02-14,185.3000,188.8900,183.3500,188.7100,81202987
2024-02-13,183.9900,187.2600,182.1087,184.0200,86759478
2024-02-12,192.1100,194.7300,187.2800,188.1300,95498597
2024-02-09,190.1800,194.1200,189.4800,193.5700,84476347
2024-02-08,189.0000,191.6171,185.5800,189.5600,83034043
2024-02-07,188.1800,189.7900,182.6800,187.5800,111535217
2024-02-06,177.2100,186.4900,177.1100,185.1000,122675954
2024-02-05,184.2600,184.6800,175.0100,181.0600,134294447
2024-02-02,185.0400,188.6900,182.0000,187.9100,110612672
2024-02-01,188.5000,189.8800,184.2800,188.8600,91843275
2024-01-31,186.9950,193.9700,185.8459,187.2900,103221430
2024-01-30,195.3300,196.3593,190.6100,191.5900,109982327
2024-01-29,185.6300,191.4800,183.6700,190.9300,125013148
2024-01-26,185.5000,186.7800,182.1000,183.2500,107343231
2024-01-25,189.7000,193.0000,180.0600,182.6300,198076787
2024-01-24,211.8800,212.7300,206.7700,207.8300,112930989
2024-01-23,211.3000,215.6500,207.7516,209.1400,106605946
2024-01-22,212.2600,217.8000,206.2700,208.8000,117952527
2024-01-19,209.9900,213.1900,207.5600,212.1900,102260343
2024-01-18,216.8800,217.4500,208.7400,211.8800,108595431
